Name,Address,City,State,zip,phone,district,latitude,longitude
St. Jerome Parish,15000 Lake Shore Blvd.,Cleveland,OH,44110,216-481-8200,none,41.57301,-81.5764
St. Joan of Arc Parish,496 East Washington Street,Chagrin Falls,OH,44022,440-247-7183,none,41.4259,-81.37559
St. John Cantius Parish,906 College Ave. SW,Cleveland,OH,44113,216-781-9095,none,41.47981,-81.68693
St. John Neumann Parish,16271 Pearl Road,Strongsville,OH,44136,440-238-1770,none,41.29783,-81.8351
St. John of the Cross Parish,140 Richmond Road,Euclid,OH,44143,216-289-0770,none,41.58031,-81.50027
St. John the Baptist c/o Visitation of Mary Parish,87 Broad Street,Akron,OH,44305,330-535-4502,none,41.07317,-81.48871
St. Joseph Parish,12700 Pearl Road,Strongsville,OH,44136,440-238-5555,none,41.32057,-81.83864
St. Joseph Parish,200 St. Joseph Drive,Amherst,OH,44001,440-988-2848,none,41.40425,-82.21918
St. Joseph Parish,215 Falls Avenue,Cuyahoga Falls,OH,44221,330-928-2173,none,41.13244,-81.48512
St. Jude Parish,590 Poplar Street,Elyria,OH,44035,440-366-5711,none,41.38323,-82.08521
St. Julie Billiart Parish,5545 Opal Drive,North Ridgeville,OH,44039,440-327-1978,none,41.40852,-81.99424
St. Justin Martyr Parish,35781 Stevens Boulevard,Eastlake,OH,44095,440-946-1177,none,41.64835,-81.43359
St. Leo the Great Parish,4940 Broadview Road,Cleveland,OH,44109,216-661-1006,none,41.42041,-81.6956
St. Lucy Parish,16280 Kinsman Road,Middlefield,OH,44062,440-548-8091,none,41.46079,-81.06175
St. Luke Parish,1212 Bunts Road,Lakewood,OH,44107,216-521-0184,none,41.49091,-81.78978
St. Malachi Parish,2459 Washington Avenue,Cleveland,OH,44113,216-861-5343,none,41.49249,-81.70754
St. Mark Parish,15800 Montrose Avenue,Cleveland,OH,44111,216-226-7577,none,41.46804,-81.80761
St. Martin of Tours Parish,14600 Turney Road,Maple Hts.,OH,44137,216-475-4300,none,41.39234,-81.58173
St. Martin of Tours Parish,1800 Station Road,Valley City,OH,44280,330-483-3808,none,41.22509,-81.9544
St. Mary of the Assumption Parish,8560 Mentor Avenue,Mentor,OH,44060,440-255-3404,none,41.66663,-81.33354
St. Mary of the Falls Parish,25615 Bagley Road,Olmsted Falls,OH,44138,440-235-2222,none,41.37236,-81.90343
St. Mary of the Immaculate Conception Parish,2640 Stoney Ridge Road,Avon,OH,44011,440-934-4212,none,41.44866,-82.03447
St. Mary of the Immaculate Conception Parish,527 Beall Avenue P.O. Box 109,Wooster,OH,44691,330-264-8824,none,40.81254,-81.94533
St. Mary Parish,15519 Holmes Avenue,Cleveland,OH,44110,216-761-7740,none,41.56067,-81.57323
St. Mary Parish,242 North State Street,Painesville,OH,44077,440-354-6200,none,41.73057,-81.24422
St. Mary Parish,250 Kraft Street,Berea,OH,44017,440-243-3877,none,41.3661,-81.86518
St. Mary Parish,300 Union Avenue,Bedford,OH,44146,440-359-8205,none,41.37977,-81.52387
St. Mary Parish,309 Seventh Street,Lorain,OH,44052,440-245-5283,none,41.46397,-82.17639
St. Mary Parish,320 Middle Avenue,Elyria,OH,44035,440-323-5539,none,41.36463,-82.10667
St. Mary Parish,340 N. Main Street,Hudson,OH,44236,330-653-8118,none,41.24637,-81.44269
St. Mary Parish c/o St. Bernard Parish,44 University Avenue,Akron,OH,44308,330-253-5161,none,41.07881,-81.51865
St. Matthew Parish,2603 Benton Street,Akron,OH,44312,330-733-9944,none,41.05374,-81.43759
St. Matthias Parish,1200 West Sprague Road,Parma,OH,44134,440-888-8220,none,41.35104,-81.6867
St. Mel Parish,14436 Triskett Road,Cleveland,OH,44111,216-941-4314,none,41.46141,-81.79475
St. Michael the Archangel Parish,3114 Scranton Road,Cleveland,OH,44109,216-861-6297,none,41.46947,-81.69747
St. Noel Parish,35200 Chardon Road,Willoughby Hills,OH,44094,440-946-0887,none,41.5887,-81.4345
St. Paschal Baylon Parish,5384 Wilson Mills Road,Highland Hts.,OH,44143,440-442-3410,none,41.53673,-81.4865
St. Patrick Parish,16550 Rock Creek Road,Thompson,OH,44086,440-298-1327,none,41.66251,-81.05312
St. Patrick Parish,4427 Rocky River Drive,Cleveland,OH,44135,216-251-1200,none,41.43513,-81.82125
St. Patrick Parish,512 North Main Street,Wellington,OH,44090,440-647-4375,none,41.17495,-82.21726
St. Paul Parish,1369 East 40th Street,Cleveland,OH,44103,216-431-1895,none,41.51605,-81.66386
St. Paul Parish,433 Mission Drive,Akron,OH,44301,330-724-1263,none,41.03736,-81.51087
St. Peter Parish,1533 East 17th Street,Cleveland,OH,44114,216-344-2999,none,41.50511,-81.68069
St. Peter Parish,220 East Butler Street,Loudonville,OH,44824,419-994-4396,none,40.63671,-82.23055
St. Peter Parish,35777 Center Ridge Road,North Ridgeville,OH,44039,440-327-2201,none,41.39041,-82.01738
St. Raphael Parish,525 Dover Center Road,Bay Village,OH,44140,440-871-1100,none,41.47997,-81.92038
St. Richard Parish,26855 Lorain Road,North Olmsted,OH,44070,440-777-5050,none,41.41635,-81.92222
St. Stanislaus Parish,3649 East 65th Street,Cleveland,OH,44105,216-341-9091,none,41.45866,-81.6449
St. Stephen Parish,1930 W. 54th Street,Cleveland,OH,44102,216-631-5633,none,41.47826,-81.72416
St. Stephen Parish,44 Britton Street,West Salem,OH,44287,419-853-4946,none,40.97394,-82.10511
St. Teresa of Avila Parish,1878 Abbe Road,Sheffield Village,OH,44054,440-934-4227,none,41.46657,-82.07673
St. Thomas More Parish,4170 North Amber Drive,Brooklyn,OH,44144,216-749-0414,none,41.44405,-81.73952
St. Thomas the Apostle Parish,521 Harris Road,Sheffield Lake,OH,44054,440-949-7744,none,41.4922,-82.09407
St. Vincent de Paul Parish,164 W. Market Street,Akron,OH,44303,330-535-3135,none,41.08796,-81.52341
St. Wendelin Parish,2281 Columbus Road,Cleveland,OH,44113,216-696-1926,none,41.48193,-81.70036
Transfiguration Parish,12608 Madison Avenue,Lakewood,OH,44107,216-521-7288,none,41.47723,-81.77688
Visitation of Mary Parish,87 Broad Street,Akron,OH,44305,330-535-4141,none,41.07317,-81.48871
Assumption - Broadview H.,9183 Broadview Road,Broadview Hts.,OH,44147,440-526-1177,west,41.316,-81.68459
Blessed Trinity,14040 Puritas Avenue,Cleveland,OH,44135,216-671-5890,west,41.43361,-81.79096
Mary Queen of Peace,4423 Pearl Road,Cleveland,OH,44109,216-749-2323,west,41.43474,-81.71012
Sagrada Familia,7719 Detroit Avenue,Cleveland,OH,44102,216-631-2888,west,41.48152,-81.73805
St. Adalbert ,66 Adelbert Street,Berea ,OH,44017,440-234-6830,west,41.37478,-81.85467
St. Angela Merici,20970 Lorain Road,Fairview Park,OH,44126,440-383-2183,west,41.44819,-81.85091
St. Bartholomew,14875 East Bagley Road,Middleburg Hts.,OH,44130,440-842-5400,west,41.36738,-81.8027
St. Basil the Great,8700 Brecksville Road,Brecksville,OH,44141,440-526-1686,west,41.32512,-81.62692
St. Bernadette,2256 Clague Road,Westlake,OH,44145,440-734-1300,west,41.4545,-81.88323
St. Christopher,20141 Detroit Road,Rocky RIver,OH,44116,440-331-4255,west,41.47752,-81.84572
St. Clement,2022 Lincoln Avenue,Lakewood,OH,44107,216-226-5116,west,41.47518,-81.79539
St. Edward High School ,13500 Detroit Rd,Lakewood,OH,44107,216-221-3776,west,41.48667,-81.78334
St. John Bosco,6480 Pearl Road,Parma Hts.,OH,44130,440-886-3500,west,41.38475,-81.77233
St. Ladislas,2345 Bassett Road,Westlake,OH,44145,440-835-2300,west,41.45231,-81.94499
St. Michael Ind.,6912 Chestnut Road,Independence,OH,44131,216-524-1394,west,41.38483,-81.64234
St. Patrick Bridge,3602 Bridge Avenue,Cleveland,OH,44113,216-631-6872,west,41.48318,-81.71149
St. Rocco,3205 Fulton Road,Cleveland,OH,44109,216-961-8331,west,41.46727,-81.70694
St. Vincent De Paul,13400 Lorain Avenue,Cleveland,OH,44111,216-252-2626,west,41.45684,-81.78491
Southwest Ozanam Center, 2145 Broadview Rd,Cleveland, OH,44109, none,oc,41.43771,-81.69901
St. Vincent De Paul Woodland Pantry,6001 Woodland,Cleveland, OH,44104, 216-391-7231,oc,41.48811,-81.64856
Wittman Ozanam Center, 13824 Euclid Ave, East Cleveland, OH,44112, none, oc,41.52609,-81.58584
Pope John Paul II Ozanam Center, 8328 Broadway Ave.,Cleveland,OH,44105,none,oc,41.44971,-81.62895
Fr. John Hilkert Ozanam Center,87 Broad Street, Akron, OH,44305, none, oc,41.07317,-81.48871
